handle,channel_id,channel_title,channel_country,uploads_playlist,subscriber_count,channel_video_count,subscribers_hidden
boat-lifestyle,UCY3JXaO_v8H3E6hTYUp5qWQ,boAt,IN,UUY3JXaO_v8H3E6hTYUp5qWQ,253000,899,False
Gonoise_Official,UCF9puX2jalk1fh14ns_npMw,Noise,IN,UUF9puX2jalk1fh14ns_npMw,108000,679,False
MiviDigital,UCHLJIjWSbFicL72lprhzmbw,Mivi,IN,UUHLJIjWSbFicL72lprhzmbw,21700,191,False
realmemobiles,UCeM7fTLWxyxIMw9WfMSX8ww,realme India,IN,UUeM7fTLWxyxIMw9WfMSX8ww,4080000,1870,False
OnePlus_IN,UCZDZuCogQfb1N95KuUOacjw,OnePlus India,IN,UUZDZuCogQfb1N95KuUOacjw,4720000,993,False
zomato,UCD7kbZQyYIR6RgJQYW9w0Tg,Zomato,IN,UUD7kbZQyYIR6RgJQYW9w0Tg,581000,501,False
swiggyIndia,UCue3MUx8W_ezngF6uEIuDMA,Swiggy ,IN,UUue3MUx8W_ezngF6uEIuDMA,402000,806,False
letsblinkit,UCXJrePNiEOdDYXyCkPnXeZA,Blinkit,IN,UUXJrePNiEOdDYXyCkPnXeZA,621000,72,False
zeptonow,UCWrhPeGmpg1HlAtQJZQ3t5g,Zepto,,UUWrhPeGmpg1HlAtQJZQ3t5g,111000,168,False
CRED_club,UCxccMFkBeBi0oaQW6WVeo4g,CRED,IN,UUxccMFkBeBi0oaQW6WVeo4g,327000,206,False
Groww,UCw5TLrz3qADabwezTEcOmgQ,Groww,IN,UUw5TLrz3qADabwezTEcOmgQ,2470000,3253,False
zerodhaonline,UC59YUBhNLMkS2Q8NBWBGHAA,Zerodha,IN,UU59YUBhNLMkS2Q8NBWBGHAA,762000,788,False
paytm,UCXDY2FHLmmMQ2dacN9Jb8mA,Paytm,IN,UUXDY2FHLmmMQ2dacN9Jb8mA,606000,2004,False
PhonePe_,UCe0domeQWPT2ZeIQDJg9XkA,PhonePe,,UUe0domeQWPT2ZeIQDJg9XkA,275000,797,False
Myntra,UCMlJjMRSKaUQhXQ_9XjCGpg,Myntra,IN,UUMlJjMRSKaUQhXQ_9XjCGpg,3450000,8289,False
Nykaa,UCoaH2UtB1PsV7av17woV1BA,Nykaa,IN,UUoaH2UtB1PsV7av17woV1BA,1730000,688,False
AmazonInOfficial,UC2cZjd8SBxVvZFGC5FEXn2Q,Amazon India,,UU2cZjd8SBxVvZFGC5FEXn2Q,1590000,1873,False
Flipkart,UCWZc94oeti-YQsI9995G3aA,Flipkart,IN,UUWZc94oeti-YQsI9995G3aA,1040000,2156,False
ajiolife,UCLLJ-WNgEp0Sg7zPShZgETw,AJIO Life,IN,UULLJ-WNgEp0Sg7zPShZgETw,539000,517,False
NetflixIndiaOfficial,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,IN,UUZSNzBgFub_WWil6TOTYwAg,29300000,7218,False
PrimeVideoIN,UC4zWG9LccdWGUlF77LZ8toA,Prime Video India,US,UU4zWG9LccdWGUlF77LZ8toA,39000000,14356,False
JioHotstar,UC0PTktRYpZXb6On0_zFKWIg,JioHotstar,IN,UU0PTktRYpZXb6On0_zFKWIg,11600000,7988,False
MakeMyTripOfficial,UCkCnjfFgbcFwiY5StOdsSMA,MakeMyTripOfficial,IN,UUkCnjfFgbcFwiY5StOdsSMA,107000,1073,False
urbancompany,UC52fWCtZ_zDjDnjJ-iPNHAA,UrbanCompany,,UU52fWCtZ_zDjDnjJ-iPNHAA,1,3,False
OYO,UC1b6tyXZTHdIZ5vmgoAqn9w,OYO,IN,UU1b6tyXZTHdIZ5vmgoAqn9w,79400,417,False
unacademy,UCx1VY57UmjU76Tgq8YwkklA,Unacademy India,IN,UUx1VY57UmjU76Tgq8YwkklA,1400000,74,False
physicswallah,UCiGyWN6DEbnj2alu7iapuKQ,Physics Wallah - Alakh Pandey,IN,UUiGyWN6DEbnj2alu7iapuKQ,14300000,1701,False
be.superyou,UCOw_dXxHCAG9CB6uNsC71ww,SuperYou,IN,UUOw_dXxHCAG9CB6uNsC71ww,1610,74,False
duolingo,UCG98ruDeyp55THxbpBCIv3g,Duolingo,US,UUG98ruDeyp55THxbpBCIv3g,6760000,1100,False
Canva,UCEDLeLo3HNQZiJOTR2svg2A,Canva,US,UUEDLeLo3HNQZiJOTR2svg2A,906000,1835,False
notion,UCoSvlWS5XcwaSzIcbuJ-Ysg,Notion,US,UUoSvlWS5XcwaSzIcbuJ-Ysg,348000,732,False
Grammarly,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,US,UUfmqLyr1PI3_zbwppHNEzuQ,239000,295,False
Figma,UCQsVmhSa4X-G3lHlUtejzLA,Figma,US,UUQsVmhSa4X-G3lHlUtejzLA,776000,1725,False
Shopify,UCIv38OrggTu3vNkCAo96-CQ,Shopify,US,UUIv38OrggTu3vNkCAo96-CQ,486000,323,False
