brand,creative_id,ocr_text,char_len
amazon_india,1000044815977078_0,NO,2
amazon_india,1001843945886663_0,,0
amazon_india,1003404035636880_0,"IYER AATHU"" Your {amily deserter (he bei Vatthal Kozhambu Pownar A testumony t0 0 mother"" $ @rt 0f cooking (r ~Deen preserved rhrough gonerationg",145
amazon_india,1006023609069222_0,,0
amazon_india,1007647852120735_0,B0,2
amazon_india,1008672041776437_0,Ulkarsh Nct Cor untch 3385 COMPOSTER : Dntt MRP Cuton,53
amazon_india,1009695611818734_0,,0
amazon_india,1012665178289351_0,,0
amazon_india,1013110118255593_0,,0
amazon_india,1014049721600405_0,"2026 ch 10 7/ comY L JMdi Wenf Machine WARRANTY 103, 10 ADVANCED NVERTER M P R [ $ 5",84
amazon_india,1014975354641267_0,,0
amazon_india,1020312004198153_0,amazonin Super Valuc Days  amazon fresh Frdta Sumana Daily groceries essentials Up to 40% off RASHEAAC OOmanica Wnole Wrrt Autt Surf exceL MATIC AAM,148
amazon_india,1021034847319661_0,VEGa VEGA Alt Pursreul VEGA Style  I600w Yory VEGA,50
amazon_india,1023032523792719_0,,0
amazon_india,1024876613513760_0,1 3 1,5
amazon_india,1027609612995571_0,,0
amazon_india,1028507406260294_0,,0
amazon_india,1028725846208374_0,prt I4 per,10
amazon_india,1029848249401792_0,,0
amazon_india,1030888152917047_0,"Great Freedom Sale Live Now amazon in OnePlus Nord CE6 740,999 {34,999' NNever Settle months No Cost EMI 10% Instant Discount"" Hor Wank an Crent Candondersyehitcansectnns",170
amazon_india,1037881312022625_0,,0
amazon_india,1038524005302508_0,NO,2
amazon_india,1038829802161343_0,NO,2
amazon_india,1040040528545499_0,,0
amazon_india,1041490318221238_0,,0
amazon_india,1046299724406422_0,PORTROMCS,9
amazon_india,1048896287665091_0,8,1
amazon_india,1049135460976619_0,BRAun Series 3 8 in Easy & Fast Styling: BaRlte,47
amazon_india,1051961070599397_0,,0
amazon_india,1055065257485162_0,,0
amazon_india,1059013176560400_0,,0
amazon_india,1059106626545646_0,,0
amazon_india,1064256219268800_0,Deal,4
amazon_india,1066001125772149_0,,0
amazon_india,1066235886063441_0,,0
amazon_india,1067074058985026_0,PRIDE SCOOTER PLUS I0-S0 Lntou Glide Boor 80t-90 120 ML,55
amazon_india,1071027768697644_0,"Great Freedom Sale Live Now amazon in Samsung 653L Refrigerator 71513,000 {76,990"" 1 Smart ] 10% Instant Discount"" Hor WanK an Crent Candondersyehitcansectnns",158
amazon_india,1080558157828325_0,Paw  Science 50 EAR FINGER WIPes Wipes,38
amazon_india,1157318219947488_0,amazon SHUTTERBUG Lcarn thc Shot Mostertho Story AMAZON PHOTOGRAPHY COMMUNITY Why join the community? Masterclasses Quarterly Photo Walks Exclusive Member-Only Deals Wisit to KowMore amazonin,191
amazon_india,1172030695392739_0,Cua,3
amazon_india,1184345318098207_0,254 THE CrEWpa EE mernp Lenehenklou UBISOFT,43
amazon_india,1205394911490389_0,Dmatonin Your perfect handbag 50-80% off LAVIE zuk. REFREOH SALE| JaraIngtantdiccount HSBC,90
amazon_india,1216968097181408_0,,0
amazon_india,1242431361342653_0,5 = dtn ' dt 4,14
amazon_india,1273357828205969_0,"Lobu_= }. 7,1 Aane Grind = n' 'Store",36
amazon_india,1302544891867711_0,YARDLEY Jdon LENGHSER oioane Keneume,36
amazon_india,1316233844007738_0,,0
amazon_india,1320578950195195_0,VEGa VEGA Alt Pursreul VEGA Style  I600w Yory VEGA,50
amazon_india,1327009669032263_0,,0
amazon_india,1328068152810467_0,1 1,3
amazon_india,1333251628965103_0,Deal,4
amazon_india,1336677095323776_0,YARDLEY Jdon LENGHSER oioane Keneume,36
amazon_india,1336758761969835_0,"Aqualogica"" BLOM"" DEWY Gjel Cunscreen 5d  Teaaunudd BPIekEX + Hidpnie ~nruZilio",79
amazon_india,1338972221689590_0,five lements S |.F five lements Te shampoo grcen apple IOuX VECAN PARABEN FRE? conditioner ulcen apple aloe 1CO% VEGAN PARABEN FREE,131
amazon_india,1339328408404052_0,,0
amazon_india,1346508467664544_0,WOODLAND,8
amazon_india,1350295060346903_0,"amazon in Super Valuc Days  amazon fresh Frdta Sumana Flat *300 cashback"" Smart shopping; bigger savings",104
amazon_india,1354978755965175_0,,0
amazon_india,1357560686438885_0,"50"" OLED SSK TCL Google TV QLED biDolby Audio Dawatts Metalic Bezel-less",72
amazon_india,1366948418917893_0,0,1
amazon_india,1368589865338427_0,Mne,3
amazon_india,1370795344969208_0,SPECIAL COLLECTOR'S EDITION WITH EXCLUSIVE NEW CHAPTER Vxey C OLLEEN k 0 0 V E R,80
amazon_india,1374493384592606_0,aoAL,4
amazon_india,1378417384417391_0,,0
amazon_india,1383020033746744_0,,0
amazon_india,1387926163201390_0,1 5 0 2 3 38 6 8 1,18
amazon_india,1394985145806805_0,,0
amazon_india,1395264638941301_0,"almazonspecials WHoop The wait is over = WHOOP 5.0has arrivedin India Starting 721,990"" ""tecapply",97
amazon_india,1395760832365553_0,,0
amazon_india,1402835908430092_0,NAPA HIDE,9
amazon_india,1414321803386995_0,"amazonin Prime Shopping Days 184 220 December Up to 80% off Home;kitchen & outdoors Extra Up 7%0 off "" UTLEl4K 10-Iant Dkcount",126
amazon_india,1421850649779114_0,"Anwaia Spacen 'World cloe Ervcloccdd Vici , Science Technologu EMeele4t= Human Bodv Amazing Plces Encucloc edi Nature iEcoee",124
amazon_india,1435520248335496_0,5,1
amazon_india,1457318032820703_0,24 INCH Deal,12
amazon_india,1482329959728522_0,amazonin Super Valuc Days  amazon fresh Frdta Sumana Fruits & vegetables Fresh daily produce,92
amazon_india,1486868663473971_0,The Original  LSclr,19
amazon_india,1496821802218558_0,"amazonin Super Valuc Days  amazon fresh Frdta Sumana Clean big, save bigger! Flat %300 cashback"" on cleaning essentials Ariel",125
amazon_india,1497744604952875_0,B0,2
amazon_india,1499279181461508_0,,0
amazon_india,1502185308618930_0,,0
amazon_india,1505362884215250_0,Olul Ga,7
amazon_india,1517694493486484_0,Hrens 0lont NO Embo * 75 Uz0 Hisense OFFICIAL SPONsOR WoaLE Br ULED MiniLED 21CH audlo System Tunted By DEVIALET Nalive L44Hz Relresh Rale HI-Vicw Engine,153
amazon_india,1519207806614239_0,,0
amazon_india,1519659986108847_0,"Great Freedom Sale Live Now amazon in Starting 349* Home & Kitchen products Free dellvery on first order"" 10% Instant Discount"" Hor Wank an Crent Candondersyehitcansectnns",171
amazon_india,1527980605777334_0,1 1,3
amazon_india,1528273191851185_0,"Great Freedom Sale Live Now amazon in SMARTCHUICE  ASUS Zenbook 14 14,35,990 {1,19,990"" Up [0 24 months No Cost EMI: 10% Instant Discount"" Hor Wank an Crent Candondersyehitcansectnns",182
amazon_india,1528948565592784_0,PHILIPS sonicare 4100 Wonneren better TX Pencoval'  plus de plaque IHAKDLE IQHWAFGER 1BAKHHEAD IMNqE ICHRCEUR ITETEDEBFOSS,122
amazon_india,1530365817982829_0,VINTAGE T9 Erote>yen 0,22
amazon_india,1530672802091084_0,BRAun Series 3 8 in Easy & Fast Styling: BaRlte,47
amazon_india,1535893534983408_0,,0
amazon_india,1536483641217770_0,,0
amazon_india,1538452134656451_0,,0
amazon_india,1542917077414639_0,Emu bum Natuna| Sprty Vulutri Lattata dao,41
amazon_india,1546785503750702_0,,0
amazon_india,1549695153463753_0,VINTAGE T9 Erote>yen 0,22
amazon_india,1555029346253230_0,,0
amazon_india,1555598359305760_0,JaenSNon SMART AC 2026 DuSTcR 59045 55 Coptlln Cod,50
amazon_india,1558487979081103_0,5 = dtn ' dt 4,14
amazon_india,1558552509397384_0,"LPETAPCHI""",10
amazon_india,1558899012518595_0,"Tbalu Fbal Ehal bal Fhalw Yla Tlal KHATU MASALE UdYog Malvani Masala KWATU araatanereraznr Jbal uYIc '1cd uRY"" TTCFT Thol Tbal Tholo Thol Fhalo Fhol Tholo",154
amazon_india,1560929268758013_0,,0
amazon_india,1567628128242545_0,,0
amazon_india,1568510801500636_0,,0
amazon_india,1570956751091426_0,signaluv gold standard in photographya exclusive privilege access Dxohat,72
amazon_india,1574393077440356_0,VEGa VEGA Alt Pursreul VEGA Style  I600w Yory VEGA,50
amazon_india,1576889014223599_0,Lt,2
amazon_india,1577257827258054_0,Deal,4
amazon_india,1579001987213825_0,eatT GA Deal,12
