source,brand,creative_id,score
google,cred,CR02289277062654984193,0.558659
google,cred,CR15723074946450063361,0.556501
google,cred,CR07224782449601937409,0.550001
google,cred,CR16644660536012701697,0.397704
google,cred,CR06003277807700934657,0.390922
google,cred,CR06168055018285957121,0.381094
google,mamaearth,CR10886116759476109313,0.571628
google,mamaearth,CR13538890931754762241,0.570981
google,mamaearth,CR07389115010812739585,0.549135
google,mamaearth,CR14803916580345348097,0.338322
google,mamaearth,CR04043118350862123009,0.338158
google,mamaearth,CR14613920378360168449,0.32778
google,nykaa,CR08542972199814823937,0.558907
google,nykaa,CR13780010739349585921,0.557959
google,nykaa,CR05837138285029228545,0.552235
google,nykaa,CR10337029139420151809,0.339271
google,nykaa,CR12847018661541576705,0.308041
google,nykaa,CR16853565065230548993,0.307018
google,swiggy,CR18014500429055918081,0.550856
google,swiggy,CR18197290938638794753,0.547051
google,swiggy,CR17648990534548586497,0.547051
google,swiggy,CR10169998368084852737,0.39234
google,swiggy,CR06223960262525845505,0.375337
google,swiggy,CR14885082666146725889,0.36792
google,zomato,CR04625804993268547585,0.646858
google,zomato,CR11231641990766526465,0.539422
google,zomato,CR03014164007738146817,0.534234
google,zomato,CR00293729592147968001,0.315076
google,zomato,CR04309375167521357825,0.313195
google,zomato,CR13053684146998607873,0.263597
meta,cred,1627921988759619_0,0.509005
meta,cred,1615706776648193_0,0.501995
meta,cred,2791054847939740_0,0.49981
meta,cred,925221333181862_0,0.428763
meta,cred,1582501370035431_0,0.419133
meta,cred,1032680822811117_0,0.398015
meta,mamaearth,1416686350338255_0,0.575214
meta,mamaearth,1380042867520845_0,0.563712
meta,mamaearth,1593988222370870_0,0.541608
meta,mamaearth,2179565275940024_0,0.419133
meta,mamaearth,1890834171599934_0,0.416644
meta,mamaearth,1089351053423383_0,0.39234
meta,nykaa,799134116175659_0,0.610435
meta,nykaa,1532909304832237_0,0.588396
meta,nykaa,1342231577567921_0,0.573045
meta,nykaa,1106986638448943_1,0.359351
meta,nykaa,1073413348499353_0,0.351747
meta,nykaa,1106986638448943_0,0.325207
meta,swiggy,1170308026159076_0,0.551816
meta,swiggy,4819398074953450_0,0.551816
meta,swiggy,1736805000842931_0,0.551816
meta,swiggy,25585422851149237_0,0.375845
meta,swiggy,27695789910039838_0,0.374975
meta,swiggy,1230798115515661_0,0.364035
meta,zomato,1878714863540540_0,0.552275
meta,zomato,1471051128050736_0,0.552275
meta,zomato,2445607422586355_0,0.543327
meta,zomato,1665621854507024_0,0.364507
meta,zomato,856357634174685_0,0.358237
meta,zomato,1411837904189343_0,0.356094
