video_id,score,overperformed,labelable
sfBapUJCNJc,0.4860513336654739,nan,False
3aLI_fPUquo,0.41913283859143735,nan,False
1j2SlOCafQ8,0.5541751617558069,nan,False
1VaIaKeugpQ,0.4169112048116782,nan,False
1B0UE61olKc,0.44472505762553105,nan,False
3VYpWxokxps,0.4802164500014955,nan,False
4N5mpIOx4Ak,0.541982182428544,nan,False
IooTBRwce2s,0.34754697761917297,nan,False
Ar4s4H7Pkjw,0.39676529856685155,nan,False
HUH-JIHHQfw,0.45281376700814924,nan,False
KHqS3pnLVwg,0.39964667853601743,0.0,True
MFtIWCYWwGw,0.4459735347092419,0.0,True
P-bY4uFjSHw,0.5984197302423904,1.0,True
PAYHOr73Zr4,0.5798205133673114,1.0,True
eb6ToL9StIQ,0.6871298754611562,1.0,True
eYXpFhoQPgA,0.3978208299169999,0.0,True
h2apnrnZp3s,0.5183208724332669,1.0,True
oUt9u_kEu64,0.6022578341525477,1.0,True
rvv9kUmROIM,0.633403636967163,1.0,True
yqCZ1ii2Jk8,0.5669744768685548,1.0,True
tZFq9Qctf-8,0.31781335243599396,0.0,True
CuAbeADfX8w,0.3595867514507723,0.0,True
pHKhxJnpWo0,0.3377036345676554,0.0,True
msWvsBI5dWU,0.20912495815936438,0.0,True
CJlkakLUVN4,0.41058589210970037,0.0,True
F7iBfTea7CA,0.6366703732775162,1.0,True
K8fjdSzvcfs,0.3978332801978572,0.0,True
QLNtxxgE2sU,0.5907281061658941,1.0,True
UDH8a9NW9UE,0.5876444270638022,1.0,True
V7Uyqus_aYA,0.551579725999101,1.0,True
Pko2vzPLeC0,0.4038040735531889,0.0,True
XRGAEVsd8iM,0.41990208645971244,0.0,True
hOjuzpfqfWY,0.44455601240886733,0.0,True
rU9dk8rlQWE,0.3499850666386637,0.0,True
vfwLAGv7DTI,0.6490093211435723,1.0,True
vLI1_mvd1jI,0.5572972812627984,1.0,True
vtstSSxULOQ,0.2029484875711291,0.0,True
29R2ezr472E,0.2892419238645654,0.0,True
SEvsdtqDvZ8,0.1421911421911422,0.0,True
TJnMPm3eaRk,0.2690136544719389,0.0,True
4iqNU55gJdA,0.17076257076257076,0.0,True
xTQJKDpwiQY,0.27398982302422925,0.0,True
1_5TE5izfDM,0.34618057806128405,0.0,True
sgsUtqLJldQ,0.34618057806128405,0.0,True
9Wr0x9IGedo,0.22374236874236875,0.0,True
C56AdpEWbxQ,0.40431472268523283,0.0,True
kKz22UJZpMA,0.39161038118632435,0.0,True
ggVddpQsaW8,0.5940275313409642,1.0,True
4haZJxpf9Bo,0.6152095669337049,1.0,True
oiDpNqYrXuc,0.3368647437287645,0.0,True
wQza2t9Qs64,0.5808292627239764,1.0,True
Npof29NvXg0,0.7009145520378239,1.0,True
wPSr8iLJKjY,0.6793929083893929,1.0,True
9b5SEQR6ga4,0.7081855353267809,1.0,True
-Hb13KrbZBY,0.604721931666701,1.0,True
I5eNmOfVACk,0.667272581259952,1.0,True
BLxFn_BFB5c,0.7009145520378239,1.0,True
YqAAFX1XXY8,0.7499520740902377,1.0,True
Xg4n60hYfhA,0.6793929083893929,1.0,True
oq_glqQtWho,0.6759905596222487,1.0,True
QOz_CsQKcz8,0.6638836491301336,1.0,True
kFKTIkxI0Qw,0.6793929083893929,1.0,True
z3lHAahgpRk,0.6571543942153949,1.0,True
z275i_6jDPc,0.7009145520378239,1.0,True
_SBn0Iu3K-U,0.3842171815350602,0.0,True
KZW0Oi9P6tA,0.6843005209076638,1.0,True
e1YbEHHc6-M,0.7365305483794463,1.0,True
JvdUcRXI9Jg,0.43570772623136883,0.0,True
_sDHGXfFHEQ,0.5528308204852109,1.0,True
-2AEmTgE-LA,0.6554580898830695,1.0,True
8TuIOy4Xn8Q,0.6687912616484045,1.0,True
WNrn8YW_VGE,0.26416191695474756,0.0,True
wQXu_htHjB4,0.6331829237071173,1.0,True
oQRKThV2HtU,0.6631429083893929,1.0,True
15x_8v8Esd0,0.4044321917606089,0.0,True
HsRmHcJLHFg,0.604721931666701,1.0,True
2PfL01ORtlc,0.5823778894222885,1.0,True
_1XMBiRE9Rw,0.5376219943676384,1.0,True
PP5Y_hh-heY,0.6230746127059491,1.0,True
46sto90Fo3U,0.1458373195882223,0.0,True
G1UZkT0GAmk,0.39161038118632435,0.0,True
B9kwMbnJWXs,0.6385838719652084,1.0,True
T9Y612yikpU,0.2436853776853777,0.0,True
Ntsy-hD2MO4,0.5981142996679261,1.0,True
0dxvejq1v2Y,0.14440623428858723,0.0,True
hyen-kIQl_k,0.5993576354105641,1.0,True
bpKdskh1J_I,0.23885067873303165,0.0,True
-JJuRNn4Nl8,0.5319068751495009,1.0,True
ZkPV_iuYIQw,0.19006611836800516,0.0,True
Xb1y3K_JfJ0,0.25375499581745514,0.0,True
x8aHhwSAsZs,0.6237164777216102,1.0,True
PmM2dWQVDbE,0.13848847926267283,0.0,True
h8pFZlCr0RY,0.2056358735604019,0.0,True
7G3TmVQQ7Mk,0.1683410527949106,0.0,True
fCbNxTDGh6I,0.1170590015128593,0.0,True
mXIQm6S8C50,0.09848847926267282,0.0,True
YEGWUlTiUB0,0.1180193850851204,0.0,True
jGGRz7YGM_c,0.12248847926267281,0.0,True
nHmZQQmwFuU,0.2754567086290459,0.0,True
_kGdRDlmY2E,0.10105900151285932,0.0,True
iEpqxTTPmzI,0.0611764705882353,0.0,True
KZBubiTMnSc,0.1410590015128593,0.0,True
RIsVVqzEBuQ,0.09848847926267282,0.0,True
ks32mdMHJaY,0.2987417609450477,0.0,True
ToOjKzO_Rts,0.31416191695474754,0.0,True
ziukKZkhrKs,0.10269942979343498,0.0,True
xpA86OZEYwU,0.1502948086805418,0.0,True
EOTHpI3Eqn4,0.19440623428858722,0.0,True
D4SA7u85X-o,0.12248847926267281,0.0,True
wt3P6TSeNxs,0.15705900151285931,0.0,True
Rxvl9Wn5IyM,0.08,0.0,True
ba0X7QKmM4g,0.2304369668338019,0.0,True
vykPOqYhNy4,0.23320591765977544,0.0,True
b2HRjVKY_zc,0.6571543942153949,1.0,True
ZSoKocQe6Go,0.09,0.0,True
p6T_dqDzBsg,0.09,0.0,True
T5CyZdnkVGs,0.6820559912437794,1.0,True
MtscagODN70,0.6129786267086021,1.0,True
TiTnkC7QTPM,0.14977053054472408,0.0,True
zMzvZ4pUjf8,0.3999300543914056,0.0,True
hhRhM9ykX_I,0.24092668100318032,0.0,True
byn0dg9s2Q8,0.3421233752957125,0.0,True
rpaxsYAg3Pc,0.14977053054472408,0.0,True
MFl0HUlqCmg,0.5834099229922634,1.0,True
-6SOo8pzJY4,0.6213615631985889,1.0,True
jjMlQAFujrM,0.3090818759317293,0.0,True
JfKw3nc4zKw,0.562798617815437,1.0,True
NhFJFI9ftMI,0.32837812458141125,0.0,True
fIVXp2rdu0w,0.604721931666701,1.0,True
hPpkaK2I2Ig,0.5509141750391536,1.0,True
HLm016JhC2Y,0.5931233998975933,1.0,True
plTMyIXGxGQ,0.41313202483475536,0.0,True
YQLEsclV9c4,0.35307726679114093,0.0,True
RGboLEnE9m0,0.29567915833405795,0.0,True
Obo0rcFXqhA,0.6188899944141879,1.0,True
UfGDCLAs8xs,0.24059911731103964,0.0,True
tZBohx5AN1Q,0.35716684306312196,0.0,True
A768NDsm20U,0.24199161606811534,0.0,True
RlUzHfIiUVE,0.2205630446395439,0.0,True
m399nRSMtgQ,0.2531906790713851,0.0,True
XorktdvMzko,0.5921574863613441,1.0,True
MbrqCF-Ax2k,0.33459450817045133,0.0,True
ztF3mL5XasE,0.3923399709067291,0.0,True
gSCGgSs0cpM,0.36875930652236544,0.0,True
QJQCmXaxAZA,0.38574420043504637,0.0,True
OAWzhOuC00w,0.4990665999568475,1.0,True
AyTmsr_f7PE,0.418114502496174,0.0,True
kewQpPnvP_c,0.36443219176060887,0.0,True
WDCmzR2aRRs,0.43321136640799923,0.0,True
cOXonMOaREE,0.47867722084979014,0.0,True
phXijME2Ux4,0.4148572671126779,0.0,True
N-Io58rShUI,0.4362858385412493,0.0,True
F-JjMD0ZA9w,0.29696292839139243,0.0,True
5hW09sql-X4,0.4257432941138043,0.0,True
vb31gkDfdeA,0.43138519557957783,0.0,True
OgI5T2o2bwg,0.4044321917606089,0.0,True
3ZJmNx9rIic,0.5743549432633881,0.0,True
zvqpb-lT8Kw,0.4394798632737219,0.0,True
7hvQgM43fi4,0.41627478941305246,0.0,True
1Yx5xEYHCCs,0.3387174018324928,0.0,True
n1XGzMj4Fmg,0.439821907665028,0.0,True
rtrCoStKCI0,0.45658459696279496,0.0,True
uYQtuFmXIJ8,0.40215292561376936,0.0,True
2IcA-HZzQqw,0.41732015940773176,0.0,True
OGt6jXRwbjQ,0.5659878893118725,0.0,True
1gu5jS9kGB8,0.5220632988435788,0.0,True
YDvOpx-XHYI,0.5887107543304292,0.0,True
owTcNtAZV6A,0.5096963649530796,0.0,True
mL7zyasCfrY,0.5226409339746554,0.0,True
91W6vtI6iRM,0.3381581800222008,1.0,True
J1LN9_irE-g,0.48586258481977174,0.0,True
sETCFnLTx44,0.3988853429935024,1.0,True
lDrPYbMwDD4,0.5929254655135746,1.0,True
ofqqis0jWG4,0.4711014632740326,0.0,True
48e29Ge2Ugo,0.41913283859143735,1.0,True
k55lrt7yA1A,0.41235102003492596,1.0,True
vsvvBcEhZHo,0.5040149109425183,1.0,True
0MA5ouSlqiY,0.5347595241809724,1.0,True
5yWRhRlsuso,0.49529322494671757,0.0,True
